brand_name,model_name,energy,gearbox,transmission,carrosserie,year,mileage_km,age,mileage_per_year,log_price
mg,hs,essence,automatique,traction,suv,2022,45000,3,15000.0,11.40646434386837
peugeot,208,essence,manuelle,traction,citadine,2020,90500,5,18100.0,10.389026137075234
volkswagen,golf 7,essence,manuelle,traction,compacte,2016,144000,9,16000.0,11.082157933374816
ssangyong,tivoli,essence,manuelle,traction,suv,2018,105000,7,15000.0,10.859018228147887
kia,rio 5p,essence,manuelle,traction,citadine,2022,120000,3,40000.0,10.809748150372926
jeep,compass,essence,automatique,intégrale,suv,2016,56000,9,6222.222222222223,11.362114203075018
mercedes-benz,classe s,essence,automatique,traction,berline,2008,212000,17,12470.588235294117,11.19822841866684
peugeot,landtrek simple cabine,diesel,manuelle,propulsion,pick up,2023,66000,2,33000.0,11.251573687764477
suzuki,swift,essence,manuelle,traction,citadine,2021,130000,4,32500.0,10.609081944147828
audi,a3 sportback,essence,automatique,traction,compacte,2017,68500,8,8562.5,11.251573687764477
volkswagen,golf 7,essence,automatique,traction,compacte,2016,130300,9,14477.777777777777,10.859018228147887
renault,clio,essence,manuelle,traction,citadine,2022,130000,3,43333.333333333336,10.596659732783579
toyota,c-hr,essence,automatique,traction,suv,2018,159000,7,22714.285714285714,10.985309671896763
peugeot,208,essence,manuelle,traction,citadine,2022,51000,3,17000.0,10.968215530759236
kia,rio berline,essence,manuelle,traction,berline,2012,290000,13,22307.69230769231,10.357774570341576
lada,4x4,essence,manuelle,intégrale,suv,2021,75000,4,18750.0,10.518700218288165
skoda,octavia,essence,automatique,traction,berline,2019,119000,6,19833.333333333332,11.002116507732017
peugeot,208,essence,manuelle,traction,citadine,2016,160000,9,17777.777777777777,10.275085591132715
volkswagen,polo,essence,manuelle,traction,citadine,2021,119000,4,29750.0,10.691967639914864
mercedes-benz,classe a,essence,automatique,traction,compacte,2014,190000,11,17272.727272727272,11.06665398721974
volkswagen,golf 7,essence,manuelle,traction,compacte,2019,99500,6,16583.333333333332,11.225256725762893
mazda,bt-50,diesel,manuelle,intégrale,pick up,2016,214000,9,23777.777777777777,10.933124826700707
ford,ka,essence,manuelle,traction,citadine,2016,178000,9,19777.777777777777,10.184937747111391
suzuki,vitara,essence,automatique,intégrale,suv,2017,92300,8,11537.5,11.149096419938578
haval,h2,essence,manuelle,traction,suv,2018,102000,7,14571.42857142857,10.933124826700707
great wall,wingle 5 double cabine,diesel,manuelle,propulsion,pick up,2018,185000,7,26428.571428571428,10.799595985047786
mitsubishi,pajero sport,diesel,manuelle,intégrale,suv,1999,225000,26,8653.846153846154,10.373522431293592
renault,captur,essence,manuelle,traction,suv,2014,183000,11,16636.363636363636,10.434145214930487
ford,focus,essence,manuelle,traction,compacte,2018,106000,7,15142.857142857143,10.736418414365376
kia,picanto,essence,automatique,traction,citadine,2019,79300,6,13216.666666666666,10.596659732783579
volkswagen,golf 8,essence,manuelle,traction,compacte,2020,40000,5,8000.0,11.385103457032141
bmw,x1,diesel,manuelle,propulsion,suv,2010,200000,15,13333.333333333334,10.915106645867503
seat,ateca,essence,automatique,traction,suv,2021,66000,4,16500.0,11.502885230075814
hyundai,i20,essence,manuelle,traction,citadine,2022,64000,3,21333.333333333332,10.985309671896763
mercedes-benz,classe c,hybride léger essence,automatique,traction,berline,2020,88000,5,17600.0,11.790564777297387
volkswagen,golf 8,hybride rechargeable essence,automatique,traction,compacte,2022,88000,3,29333.333333333332,11.736077016252437
